Distance_(µm),Gray_Value
0.0000,469.200
0.4880,502.800
0.9760,452.200
1.4640,449.800
1.9520,422.200
2.4400,474.400
2.9280,478.400
3.4160,435.800
3.9040,451.600
4.3920,436.200
4.8800,425.000
5.3680,409.800
5.8560,386.600
6.3440,382.800
6.8320,450.400
7.3200,485.000
7.8080,470.200
8.2960,528.600
8.7840,614.600
9.2720,731.800
9.7600,815.600
10.2480,948.800
10.7360,1033.200
11.2240,1008.000
11.7120,913.600
12.2000,768.000
12.6880,708.800
13.1760,673.000
13.6640,665.000
14.1520,643.400
14.6400,767.400
15.1280,933.800
15.6160,916.600
16.1040,936.200
16.5920,835.000
17.0800,742.400
17.5680,637.800
18.0560,574.400
18.5440,513.200
19.0320,499.000
19.5200,457.600
20.0080,491.000
20.4960,476.400
20.9840,470.200
21.4720,524.800
21.9600,482.400
22.4480,468.000
22.9360,482.200
23.4240,498.600
23.9120,483.200
24.4000,423.600
24.8880,408.800
25.3760,384.200
25.8640,338.000
26.3520,315.200
